,Formatted_Date,Date,Title,Explanation,Link
1528,04 September 2022,September 4,2022 Mutiny Bay DHC-3 Otter crash,"A DHC-3 Turbine Otter crashed into Mutiny Bay killing all 10 on board. The flight was carrying tourists from Friday Harbor Seaplane Base to Renton Municipal Airport, Washington.",https://en.wikipedia.org/wiki/2022_Mutiny_Bay_DHC-3_Otter_crash
102,05 April 1948,April 5,1948 Gatow air disaster,"In the 1948 Gatow air disaster, a British European Airways Vickers VC.1 Viking crashed near RAF Gatow, Berlin, following a collision with a Soviet Air Force Yakovlev Yak-3 fighter; all 14 people on board the Viking were killed, as well as the Soviet pilot.",https://en.wikipedia.org/wiki/1948_Gatow_air_disaster
776,05 August 1984,August 5,1984 Biman Bangladesh Airlines Fokker F27 crash,"A Biman Bangladesh Airlines Fokker F27-600 crashed into a marsh near Zia International Airport in Dhaka, Bangladesh while landing in poor weather. With a total death toll of 49 people, it is the deadliest aviation disaster to occur on Bangladeshi soil.",https://en.wikipedia.org/wiki/1984_Biman_Bangladesh_Airlines_Fokker_F27_crash
256,05 February 1960,February 5,1960 Douglas DC-4 Cochabamba crash,"In the 1960 Douglas DC-4 Cochabamba crash, a domestic flight from Cochabamba to La Paz, crashed shortly after take off following an apparent engine fire, killing all 59 on board; a technical defect was blamed.",https://en.wikipedia.org/wiki/1960_Douglas_DC-4_Cochabamba_crash
131,05 January 1950,January 5,1950 Sverdlovsk plane crash,"In the 1950 Sverdlovsk plane crash, a Lisunov Li-2 crashed near Sverdlovsk (now Yekaterinburg), Soviet Union, killing all 19 on board.",https://en.wikipedia.org/wiki/1950_Sverdlovsk_plane_crash
165,05 January 1953,January 5,1953 Nutts Corner BEA Vickers Viking accident,"In the 1953 Nutts Corner BEA Vickers Viking accident, a Vickers Viking operated by British European Airways crashed on approach to Belfast-Nutts Corner Airport, killing 27 of the 31 on board.",https://en.wikipedia.org/wiki/1953_Nutts_Corner_BEA_Vickers_Viking_accident
461,05 January 1970,January 5,1970 Spantax CV-990 crash,A Spantax Convair 990 Coronado crashed shortly after takeoff from Stockholm's Arlanda Airport when the flight crew lost control of the aircraft; five of the ten people on board were killed.,https://en.wikipedia.org/wiki/1970_Spantax_CV-990_crash
545,05 March 1973,March 5,1973 Nantes mid-air collision,"In the Nantes mid-air collision, an Iberia McDonnell Douglas DC-9 collided with a Spantax Convair CV-990. All 68 people on board the DC-9 were killed while the CV-990 was able to make a successful emergency landing at Cognac",https://en.wikipedia.org/wiki/1973_Nantes_mid-air_collision
1350,05 March 2011,March 5,2011 Garbuzovo Antonov An-148 crash,An Antonov An-148 crashed near Garbuzovo during a test flight operated by VASO. All 6 people on board were killed.,https://en.wikipedia.org/wiki/2011_Garbuzovo_Antonov_An-148_crash
1062,05 May 1998,May 5,1998 Occidental Petroleum Boeing 737 crash,"In the 1998 Occidental Petroleum Boeing 737 crash, a Boeing 737 leased from the Peruvian Air Force crashes while on approach to Alférez FAP Alfredo Vladimir Sara Bauer Airport, killing 75 of 88 on board.",https://en.wikipedia.org/wiki/1998_Occidental_Petroleum_Boeing_737_crash
1341,05 November 1900,November 5,JS Air Flight 201,"JS Air Flight 201, a Beechcraft 1900 operating a domestic charter flight in Pakistan, crashed shortly after takeoff from Jinnah International Airport, Karachi, following an engine malfunction; all 21 people on board were killed.",https://en.wikipedia.org/wiki/JS_Air_Flight_201
1424,05 September 2015,September 5,2015 Senegal mid-air collision,"In the 2015 Senegal mid-air collision, a Boeing 737-800, collides in a mid-air with a BAe 125 air ambulance operated by Senegalair over eastern Senegal. The BAe 125 crashes in the Atlantic killing all seven on board, while the 737 lands safely without any injuries to those on board.",https://en.wikipedia.org/wiki/2015_Senegal_mid-air_collision
288,06 August 1961,August 6,1961 Malév Hungarian Airlines Douglas C-47 Skytrain crash,"In the 1961 Malév Hungarian Airlines Douglas C-47 Skytrain crash, a Malév Douglas C-47 crashed into an apartment building in Zugló, Budapest during a sightseeing flight due to pilot error, killing all 27 on board and three more on the ground; all in the apartment survived.",https://en.wikipedia.org/wiki/1961_Mal%C3%A9v_Hungarian_Airlines_Douglas_C-47_Skytrain_crash
164,06 December 1952,December 6,1952 Bermuda air crash,"A Cubana de Aviación Douglas DC-4 stalled and crashed into the Atlantic Ocean off Bermuda shortly after takeoff from Kindley Air Force Base for reasons unknown, killing 37 of 41 on board.",https://en.wikipedia.org/wiki/1952_Bermuda_air_crash
1359,06 July 2011,July 6,2011 Silk Way Airlines Ilyushin Il-76 crash,"A Silk Way Airlines Ilyushin Il-76 crashed into a mountain 25 kilometres (16 mi) short of Bagram Air Base in Afghanistan, killing all nine people on board the cargo flight from Baku, operated on behalf of NATO.",https://en.wikipedia.org/wiki/2011_Silk_Way_Airlines_Ilyushin_Il-76_crash
1517,06 July 2021,July 6,Petropavlovsk-Kamchatsky Air Flight 251 (2021),"Petropavlovsk-Kamchatsky Air Enterprise Flight 251, an Antonov An-26 operating a domestic flight from Petropavlovsk-Kamchatsky to Palana, Russia, crashed while approach. All 22 passengers and 6 crew were killed.",https://en.wikipedia.org/wiki/Petropavlovsk-Kamchatsky_Air_Flight_251_(2021)
614,06 June 1976,June 6,1976 Sabah Air GAF Nomad crash,"In the 1976 Sabah Air GAF Nomad crash, a GAF N-22B Nomad crashed into the sea on approach into Kota Kinabalu International Airport, Malaysia. All 11 passengers and crew were killed. Several local political leaders were on board at the time.",https://en.wikipedia.org/wiki/1976_Sabah_Air_GAF_Nomad_crash
419,06 March 1968,March 6,Air France Flight 212 (1968),"Air France Flight 212, a Boeing 707, crashed into the northwestern slope of La Soufrière Mountain in Guadeloupe with the loss of all 63 lives on board.",https://en.wikipedia.org/wiki/Air_France_Flight_212_(1968)
306,06 May 1962,May 6,1962 Channel Airways Dakota accident,"A Channel Airways Douglas C-47 Dakota crashed into a hill on the Isle of Wight in bad weather, while en route from Jersey to London's Southend Airport, killing 12 of the 18 on board.",https://en.wikipedia.org/wiki/1962_Channel_Airways_Dakota_accident
16,06 November 1929,November 6,1929 Luft Hansa Junkers G 24 crash,"A Luft Hansa Junkers G 24 crashed near Marden Park in Godstone, Surrey, England, killing seven of the eight occupants on board.",https://en.wikipedia.org/wiki/1929_Luft_Hansa_Junkers_G_24_crash
816,06 November 1986,November 6,1986 British International Helicopters Chinook crash,"In the 1986 British International Helicopters Chinook crash, a Boeing 234LR Chinook crashes on approach to Sumburgh Airport, Shetland Islands; of 47 people on board, 45 die.",https://en.wikipedia.org/wiki/1986_British_International_Helicopters_Chinook_crash
15,06 September 1929,September 6,1929 Jask Imperial Airways de Havilland Hercules crash,"An Imperial Airways de Havilland Hercules crashed whilst landing at Jask Airport, Iran, killing three of the five occupants on board.",https://en.wikipedia.org/wiki/1929_Jask_Imperial_Airways_de_Havilland_Hercules_crash
